Year,Washington,Beijing,Brasília,Riyadh,Moscow,Global Mean
1950,-0.4138978422568016,0.9788564243026485,-0.4744519260038942,-0.9619093316266571,-0.24945587722868368,-0.2061302061351853
1951,0.07939852527579205,0.2767769465508536,-0.6370107068830748,0.15373333789625576,0.20745217871035493,0.060450735475797046
1952,0.21967037837202952,-0.560439236259981,-0.667561497908082,0.07873751614056346,0.33346990493282647,0.026703350805291848
1953,1.2194421310944108,-0.09809974131758281,-0.4780610861882906,0.1684193652158683,0.20806507487691306,0.20297309883812886
1954,0.5152982560991859,-1.3000412385429172,0.4524866220253898,0.7350652620755227,-0.2076417059886353,-0.10150540128461216
1955,-0.016204850129042825,-0.14654937246768895,0.5435457380617663,0.32414639812623136,-0.37992851383501147,0.06797976449820453
1956,-0.09046025399675273,-1.654866574732523,-0.1355478005787063,-0.29004523444564256,-1.6837953486635797,-0.39461998779688656
1957,0.5257778941056586,-1.4943959215092946,0.19032197289993746,-0.23873522157691696,1.2948813246828195,0.011671904329887184
1958,-0.7951149175410137,0.3247612688426216,0.543615995997925,0.6749148156386582,-0.2901204176239389,0.27940915181625314
1959,0.8887253247355602,0.6987536779631682,0.9971797276998586,-0.6757735895953374,0.3982355572281904,0.13185835622448394
1960,-0.49841549039297206,0.9109065011659823,0.42000120511556815,0.6376968771730844,0.4078008117394347,0.10972996677378433
1961,-0.21981250941075814,1.859992931809984,1.5613174887907917,-0.1544491746803942,1.2828868693472941,0.2871511807290972
1962,-0.6336200291925707,0.9085007628641506,-0.12501399939878866,0.7551613017189993,0.3233899702865983,0.12530363871564987
1963,-0.6628727177080691,1.0385772111246752,0.7442464866405771,0.2346618512938221,-0.8623219655216872,0.2268789911240674
1964,-0.05677711792532136,-0.3822240124702603,-0.7079762484031562,-0.8287404947068353,0.3458682494228924,-0.11698506673292286
1965,-0.17830930406353218,0.8078402561411622,-0.28231086664050054,0.1350836582487318,-0.784003496207788,0.060020058894679096
1966,-0.48678934448139444,0.5845085423502496,-0.6183142528363987,0.7790884117227961,0.6683203659461014,0.2189234207410209
1967,-0.6771940458202153,-0.9605748667336229,-0.20142952222499844,-0.8829933241277104,0.6502275311963785,-0.06755159252224985
1968,-0.16282296862641488,0.5587594624828398,-0.8970131201194818,0.03363459327442797,-0.5822700375663317,-0.14434516644155337
1969,-0.4838067281345957,-1.5857294367970098,0.580243791371231,0.5687060506481885,-2.1559118422946995,-0.19651589476711706
1970,0.04064080846774232,-0.44506695519817185,0.180933253262765,0.21428647768175324,-0.13158045134809981,-0.025028132967463534
1971,0.09542564704020151,0.002566975638274016,-0.34528042780402757,-0.8413001510166396,-0.06136937058636249,-0.13247587518299042
1972,-0.4961489897611955,0.3226630783692599,0.26567135168579625,-0.9038399682585805,1.0062594859282399,-0.3078300686802322
1973,0.8515797398608811,-0.06723714309896422,0.5767463554043388,0.11376419392422576,0.1801012842113323,0.19326353458814083
1974,0.41302589840552173,-0.24718129618872808,-0.33985082680374035,-0.2627308285302661,1.0827451355914945,-0.3594807099088939
1975,0.5382871421234086,1.085015677694173,-0.2510879683773055,-0.6075437856225108,1.679767211942817,-0.07049395451531382
1976,-0.1399155817200608,-0.43771165113821553,-0.28001194431590193,-0.4293111519618833,-2.1053095375154953,-0.5254085234491868
1977,0.37362646710971603,-0.19600903463924624,0.01936113209967516,0.19936575409224133,-0.04103980028344267,0.00386396219460039
1978,-0.3685964770127157,0.25961693539511543,-0.28241209850557425,0.1748187196501476,-1.3851140060480702,-0.17774485695849762
1979,-0.46460687502440123,-0.6957116707233126,-0.3144209916010823,0.9829486236167213,-0.03474895168506009,0.03529480424776921
1980,-0.05100140661284058,-0.6738722944003257,-0.11380543976474655,0.7576665988051445,-1.0630037192256623,0.04682205714175325
1981,-0.4620696225597385,0.0705879452229965,-0.4116750621369647,0.6604716686526899,1.3813179803935327,0.2527109251611819
1982,-0.2631801752083902,0.3733929251002337,-0.11748420442040697,-1.0041928074649604,0.26690511201491063,-0.14467653114775203
1983,0.18458295106597689,0.7734830749184312,-0.02880977091308523,-0.686094895954966,1.096321152201881,0.24674953196495153
1984,-0.00870333943953483,-0.4312290076663885,0.15433603135443263,-0.2515065694733494,-0.06833062756140862,-0.2892584440940027
1985,0.624825943509677,-0.8065697386689408,-0.4730760944923986,-0.03795224208215586,-1.2177423659466058,-0.3051601761214897
1986,0.48937612217832793,-0.5243225653553054,-0.029881597673238502,-0.4684055465941128,-0.4198767094385403,-0.05483139653961189
1987,0.19297942312937266,-0.2147975463194598,0.4706138577496404,0.7941086146468024,-2.2826132967088597,0.19546202551146052
1988,-0.12535658527758642,-0.13199248429532418,0.06701500810459038,0.22200235101558974,0.4208850304457883,0.26212634003081803
1989,-0.5335640319490267,0.5173055113416467,-0.4049542696550361,-0.4670119351433186,2.0366876079629037,0.054921068503517745
1990,1.2112159698338019,-0.23528734847127453,0.13991110259530615,0.3901822112470654,1.0780390647480544,0.3950437206949573
1991,1.3395132052273766,-0.368134100842326,-0.28398457826938284,0.2834529542501514,0.8234428187704452,0.1539847751207617
1992,-0.40248702303415484,0.05596007844633277,-0.6207941442803531,-1.4255053701972429,0.49796600870217844,-0.19389053384338695
1993,0.06077680848670752,0.004616039004076811,0.15917600807892995,-0.2111495492033555,-0.9452358478786209,-0.2162701944798755
1994,0.01449146736831608,0.6557207437219859,0.302629980369602,0.2650824289491993,-0.9125958564411576,0.015312590086750788
1995,0.06711642626669345,-0.012454323025167469,0.03133901282649276,-0.34760899628577135,1.1506955533272958,0.2115816968098443
1996,-1.0141669183333306,-0.6495063292068153,-0.053348017596363206,0.08477886063860751,-0.5884609838078632,-0.34850169267019737
1997,-0.4028509980732906,0.4084136021313043,-0.26997359136908017,-0.6203406701993117,-0.7019953994863499,-0.039174638899794445
1998,1.2629416284537456,0.5738115745043615,0.9280626333056716,0.7974694229185388,-1.1161161898030514,0.41770006515162095
1999,0.3877519768725506,0.6893999902561063,0.04790176970959692,0.8180065032738639,0.6258111667270896,0.13851646245302618
2000,-0.6361470035981256,-0.2383209064728362,0.016576288545820717,0.23616192828831117,0.6004163087754932,-0.19780088644870375
2001,0.007528866729444417,-0.11468558833871612,-0.051381339483214106,0.3298592819469377,-0.1381320624855107,0.07177292079040853
2002,0.6017385722300332,0.38684403059551187,0.6495403602320948,0.08121526346758401,0.41489627755299807,0.17123690760763566
2003,-1.1297019691276091,-0.04592687388822014,0.07200862402055463,0.4269974509754775,-0.6126910539210257,0.05841578103468237
2004,-0.3287605307807553,0.3309897353192355,-0.061167710228119176,0.07377933079897048,-0.18204517995445713,0.028078828180241544
2005,-0.14335581390150764,-0.055282118344393893,0.16428748053340314,0.21394371543851776,-0.04521077828212583,0.20797263107579056
2006,0.5490097401038838,0.177825924495437,-0.4132163798669808,-0.052259150966392554,-0.6518643625759069,0.16154323464320441
2007,0.4500573226416691,0.7137855435264555,0.44228262263391116,0.05928938392867167,0.8622213620865296,0.2237515763824831
2008,-0.0396393358187197,-0.14332611281452046,-0.08577434985568289,-0.34298172479770983,1.1361760343775131,-0.05773388667444124
2009,-0.6175594833252944,0.07099901211449833,-0.24451864499110343,0.24626809902520108,-0.024336283204320353,-0.08672174827870549
2010,0.18239185082575204,-0.9755755074686476,0.2858129208209448,0.8612490604764389,0.06043294449773384,0.10395107750787247
2011,0.38072247913396495,-0.4203482555478786,-0.3977642715597085,-0.4463725806790535,0.037792067093505466,-0.28906013587743473
2012,0.851852567615424,-0.8138868590767743,-0.13408689205539304,-0.09355849436201424,-0.8859600872915507,-0.1651999685127521
2013,-0.770947620058223,-0.5297569918832323,-0.20089541918173381,-0.7674424696363076,-0.002968294049424003,-0.12484073485097724
2014,-1.330878767480499,0.5986062874385425,-0.04551651309452609,-0.2839729928293764,0.4289244292422154,-0.2181228157512578
2015,-0.353117876604756,0.1168267581863347,0.5015444551120254,0.342445639183552,0.6292615396150723,0.16921160128549673
2016,0.11576522835025571,-0.0035989976090604614,0.6442974952035456,-0.18127739390911302,-0.20575945316477373,0.1646344400878661
2017,0.33410184621288863,0.30458976223962964,0.15822478491463698,0.07628490984416203,-0.5378389885518118,0.05284418698420268
2018,-0.390734976142312,-0.11284280211089026,-0.09195809958259815,0.12224314614763898,-0.4409211583420074,-0.2174286892757209
2019,0.30749621636323354,0.4759148327764251,0.6304126600705331,-0.2162237299210119,0.7780482366833894,-0.025853378144347516
2020,0.31050929091748003,0.058045284089303095,-0.36259018221926453,-0.3975812945329835,1.195576764883299,0.09366509108031096
2021,0.15504741158179058,-0.298641389578961,-0.4116648686390363,0.37647977848268965,-0.8196832299918242,-0.06300536167941573
2022,-0.504256853284005,-0.26205290307120777,-0.626674680439919,0.028353287954359985,-0.5292979100518096,-0.3128813379860276
2023,0.5111548459294681,0.3590338881433581,0.031107189019394355,-0.13321442822712015,-0.24399725576540732,0.2370425332544528
